Symbol,BasicPrice,OpenPrice,HighPrice,LowPrice,ClosePrice,AveragePrice,Volume,AdjustPrice,Ceiling,Floor,AverageAdjustPrice,TotalValue,AgreedVolume,AgreedValue,ChangePrice
,,,,,,,,,,,,,,,
NNT,46,46,46,46,46,46,0,46,52.9,39.1,46,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QPH,27.3,27.3,27.3,27.3,27.3,27.3,0,27.3,31.3,23.3,27.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QTP,15.4,15.4,15.5,15.2,15.4,15.4,108350,15.4,17.7,13.1,15.4,1659780000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
QSP,24.6,24.6,24.6,24.6,24.6,24.6,0,24.6,28.2,21,24.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MTB,9.9,9.9,9.9,9.9,9.9,9.9,0,9.9,13.8,6,9.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SAP,23.3,23.3,23.3,23.3,23.3,23.3,0,23.3,32.6,14,23.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MTC,2.7,2.7,2.7,2.7,2.7,2.7,0,2.7,3.1,2.3,2.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MTH,14.5,14.5,14.5,14.5,14.5,14.5,0,14.5,16.6,12.4,14.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SAL,3.1,3.1,3.1,3.1,3.1,3.1,0,3.1,3.5,2.7,3.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
MTS,11,11,11,11,11,11,0,11,12.6,9.4,11,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
